HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"000.010",CFGLOC100665,"Rocky Mountain Single Aspirated Air Temperature L1","2010-01-01T00:00:00Z",,TOWER100645,"Rocky Mountain Tower","2010-01-01T00:00:00Z",,2.32,5.37,0.30,0.00,0.00,0.00,40.275903,-105.545955,2741.57,-4.87,-3.24,303.00,213.00
"000.020",CFGLOC100668,"Rocky Mountain Single Aspirated Air Temperature L2","2010-01-01T00:00:00Z",,TOWER100645,"Rocky Mountain Tower","2010-01-01T00:00:00Z",,2.37,5.36,4.27,0.00,0.00,0.00,40.275903,-105.545955,2741.57,-4.91,-3.20,303.00,213.00
"000.030",CFGLOC100671,"Rocky Mountain Single Aspirated Air Temperature L3","2010-01-01T00:00:00Z",,TOWER100645,"Rocky Mountain Tower","2010-01-01T00:00:00Z",,2.36,5.35,10.56,0.00,0.00,0.00,40.275903,-105.545955,2741.57,-4.89,-3.20,303.00,213.00
"000.040",CFGLOC100674,"Rocky Mountain Single Aspirated Air Temperature L4","2010-01-01T00:00:00Z",,TOWER100645,"Rocky Mountain Tower","2010-01-01T00:00:00Z",,2.36,5.35,15.63,0.00,0.00,0.00,40.275903,-105.545955,2741.57,-4.89,-3.20,303.00,213.00
